split,RMSE,MSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,226.59382307926737,51344.760657678315,174.2966914021432,0.6914772831671698,7.109808121656479,0.8384661042718983,2.195412697785494e-147,553
validation,195.13033277491297,38075.84676884827,158.98658330228372,0.7349360072172215,6.350057816061295,0.860090635765842,3.2583011276920163e-24,79
test,227.02814805175615,51541.780007810106,183.0338896822323,0.6903487480694623,7.424112431156754,0.8340592927376244,2.1143164882006368e-42,159
