split,RMSE,MSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,206.8492671408853,42786.61931672133,160.4189318083454,0.742901829386309,6.558246649507178,0.8667359604917826,1.3638987809620945e-168,553
validation,228.59075705450147,52253.73421075011,182.14666897244172,0.6362370215481765,7.199785432657116,0.798437968985487,1.2166948702422736e-18,79
test,222.61301176242458,49556.55300593738,171.54305425636477,0.7022755388477988,6.971623940481986,0.8389378346095673,2.4884706958351275e-43,159
