split,RMSE,MSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,212.35321842120098,45093.889373842285,163.5516183138749,0.7290378008589202,6.722865113172228,0.8599057914275179,4.7858165258166014e-163,553
validation,235.35234570684847,55390.72662971591,191.01597154866457,0.6143989324060415,7.58500468372687,0.7855991632241879,1.0107380069268528e-17,79
test,231.42967817369373,53559.695939579455,180.95029617127972,0.6782255696602519,7.388352405374141,0.8241149228723733,1.346180555562555e-40,159
