split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,0.4776154626543278,0.3271896789590464,0.9999986339333498,0.012937193502020322,0.9999993473751263,0.0,474
validation,248.46440639895326,192.3004673299852,0.5994311585021805,7.554085876647103,0.7783414732667989,2.3785355765134597e-33,158
test,243.61398516943552,196.32890128363266,0.6434521189522824,7.917665721458482,0.8064952149579218,1.1540646304860577e-37,159
