split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,264.96750913563574,202.16167244524473,0.5795635327324729,8.191401773247478,0.7612907019457651,7.513038005337989e-91,474
validation,244.0683520913734,190.68961625784954,0.6134802088291416,7.37855563655926,0.7921887195020976,2.794857085358738e-35,158
test,240.2498129713636,190.69846801875212,0.6532315767048225,7.637126675852183,0.8083433184676876,5.874169976893643e-38,159
