feature,importance
f0_m_fundal_ht_v2,0.11710932041339295
f0_m_abd_cir_v2,0.11075480325974496
f0_m_rcf_v2,0.08096435749927515
f0_m_wt_v2,0.07573892824004774
f0_f_plt_ini,0.06437263245034765
f0_m_age_eld_child,0.05793225232207804
f0_m_wt_prepreg,0.054405620302496537
f0_m_glu_f_v2,0.054192129460392625
f0_m_p_sc_v1,0.049777782834115825
f0_f_head_cir_ini,0.0478291883101047
f0_m_o_sc_v1,0.04682311468786498
f0_m_g_sc_v1,0.046798823349981755
f0_m_pulse_r1_v2,0.046276455635126654
f0_m_pulse_r2_v2,0.04466331379528475
f0_m_lunch_cal_v1,0.038129573321485234
f0_m_r4_v2,0.030085946550366078
f0_m_parity_v1,0.025085010665077827
f1_sex,0.009060746902816393
