feature,importance,importance_pct
f0_m_fundal_ht_v2,0.09214379,9.214379
f0_m_abd_cir_v2,0.090410255,9.041025
f0_m_r4_v2,0.075455345,7.5455346
f0_m_rcf_v2,0.06767284,6.767284
f0_m_wt_v2,0.06487078,6.487078
f0_m_parity_v1,0.06163374,6.163374
f0_m_age_eld_child,0.054077264,5.4077263
f0_f_plt_ini,0.05369225,5.369225
f0_m_o_sc_v1,0.052513767,5.2513766
f0_f_head_cir_ini,0.049098734,4.9098735
f0_m_p_sc_v1,0.048420504,4.8420506
f0_m_glu_f_v2,0.046048068,4.604807
f0_m_pulse_r2_v2,0.044925123,4.492512
f0_m_g_sc_v1,0.04368435,4.368435
f0_m_wt_prepreg,0.042780153,4.278015
f0_m_pulse_r1_v2,0.041115846,4.1115847
f0_m_lunch_cal_v1,0.040526237,4.0526237
f1_sex,0.030930921,3.0930922
