split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,106.54978640199319,81.54603669818232,0.9320138733625309,3.385205305181005,0.9831713717504516,0.0,474
validation,249.17258216559583,191.63254058493862,0.5971444936669634,7.478026385493257,0.8075967372838262,1.3137841608048935e-37,158
test,251.44722757168728,202.8664879579336,0.6201543735602298,8.31729133269481,0.8224563403731849,2.62379212715567e-40,159
