split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,264.96750747984794,202.16265229022198,0.5795635379871062,8.191439589852623,0.7612907053071911,7.513016388467377e-91,474
validation,244.06928468090348,190.69137281924566,0.6134772550254552,7.378630754779579,0.7921876281205711,2.795873171820982e-35,158
test,240.24911099827094,190.6986481790978,0.6532336031101205,7.637130169590738,0.8083442827379578,5.872089335165955e-38,159
