split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,224.5856631103299,168.0315729106721,0.6979497569841662,7.196573774785316,0.8796728112159926,1.859574291905491e-154,474
validation,222.35917369489687,172.79810277546474,0.6791818711742219,6.937646546520143,0.8514272509713611,1.413417946410231e-45,158
test,354.694209085804,278.40088857035715,0.24417435504639118,11.701196500311195,0.5014871712299881,1.6588014598131947e-11,159
