split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,238.12107801071502,175.37286304905152,0.6604444666735733,7.604490096468918,0.901519327796999,8.094047798110253e-174,474
validation,227.74141643134695,173.27067079925052,0.6634629889067014,6.954152621177368,0.888831364856666,9.65652077661985e-55,158
test,362.7503714123232,285.15591540126013,0.20945033526206636,12.000475415083327,0.46514074099633324,6.526106560215315e-10,159
