feature,importance,importance_pct
f0_m_plac_wt,0.32991022,32.99102
f0_m_GA_Del,0.30588686,30.588684
f0_m_fundal_ht_v2,0.0345818,3.4581795
f1_sex,0.033539783,3.353978
f0_m_r4_v2,0.028909933,2.8909929
f0_m_abd_cir_v2,0.028455833,2.845583
f0_m_wt_v2,0.028329441,2.8329437
f0_m_rcf_v2,0.025481714,2.548171
f0_m_o_sc_v1,0.022716992,2.271699
f0_m_glu_f_v2,0.022478733,2.247873
f0_f_head_cir_ini,0.02236299,2.2362988
f0_m_pulse_r2_v2,0.02178483,2.178483
f0_f_plt_ini,0.018560177,1.8560175
f0_m_g_sc_v1,0.016201003,1.6201
f0_m_p_sc_v1,0.015041769,1.5041766
f0_m_lunch_cal_v1,0.010917683,1.0917683
f0_m_pulse_r1_v2,0.010608424,1.0608424
f0_m_wt_prepreg,0.009160779,0.91607785
f0_m_age_eld_child,0.008337486,0.83374846
f0_m_parity_v1,0.006733613,0.67336124
