col_name,feature_importance_vals
f0_m_GA_Del,142.54599055176948
f0_m_plac_wt,131.22385254146872
f0_m_fundal_ht_v2,45.73843876302738
f0_m_abd_cir_v2,33.23321349331083
f0_m_rcf_v2,23.04373814440205
f0_f_plt_ini,21.256474932878067
f0_m_parity_v1,19.711277155195475
f0_m_glu_f_v2,18.97233229201377
f1_sex,18.949704493744985
f0_f_head_cir_ini,18.49743551740254
f0_m_wt_v2,15.156756006890918
f0_m_g_sc_v1,13.960233699275268
f0_m_lunch_cal_v1,13.557749322813914
f0_m_pulse_r2_v2,13.14759462074843
f0_m_o_sc_v1,12.885907488871181
f0_m_age_eld_child,11.34513653239188
f0_m_p_sc_v1,10.477504069070058
f0_m_wt_prepreg,10.397472700195271
f0_m_pulse_r1_v2,8.96849498053002
f0_m_r4_v2,8.125639909211012
