split,RMSE,MAE,R²,MAPE,Correlation,P-value,Sample_Size
train,124.62771387898275,93.48442111735531,0.9069868421504997,3.8450196074206198,0.9627535458078992,2.9752136663851603e-270,474
validation,249.25869511144526,193.1646508098959,0.5968659953776121,7.581113704698699,0.7744948060770023,7.724818102360087e-33,158
test,240.92310278272268,194.66311160237836,0.6512852459571414,7.7426685011531395,0.8082136649898656,6.16063624533472e-38,159
